num_of_detection,sum_of_iou,sum_of_lev,sum_boundingbox_conf,sum_ocr_conf
0,3.20165134304183,31,3.99126988649368,3.94583433866501
0,5.56039263038657,7,6.99637120962143,6.97504305839539
0,5.41796223071532,7,6.99158024787903,6.84452879428864
0,1.63067716182096,47,1.9966903924942,1.95212608575821
0,4.07813621025825,23,4.9962842464447,4.991335272789
3,5.80266190782378,4,6.99267262220383,6.63970655202866
6,5.77032996022303,1,6.98830199241638,6.74244177341461
0,3.24555641454029,31,3.9970321059227,3.98119300603867
6,4.78760638654706,9,5.99312853813171,5.75971156358719
2,2.35955537617743,37,2.9869527220726,2.87577509880066
3,3.16052373986255,28,3.9791511297226,3.77033299207687
6,5.71278719884636,1,6.95924633741379,6.90301156044006
5,3.95350117970524,18,4.99246340990067,4.95148402452469
2,1.53562639701694,45,1.99249422550201,1.87782102823257
0,0,63,0,0
6,5.64315682159104,1,6.98946541547775,6.57060378789902
6,5.61978600358157,0,6.98871713876724,6.86444050073624
0,0.793117491345958,55,0.994495809078217,0.92454195022583
7,5.70039506442435,0,6.98841440677643,6.74506449699402
0,4.72938487286092,15,5.99699020385742,5.96133518218994
2,2.27332640204527,36,2.9893611073494,2.83823084831238
6,5.40196632786129,0,6.98189055919647,6.72240090370178
6,4.78577374319144,9,5.99402266740799,5.90182507038116
7,5.63995899661529,-1,6.99252480268478,6.91930830478668
6,5.58911908168296,1,6.99326014518738,6.72547137737274
5,5.73667704581983,2,6.99235701560974,6.6842532157898
